image,method,idx,t_encode,t_decode,t_total
50,semcom,12,0.2855374600003415,0.00041786800011323066,0.28595532800045476
51,semcom,16,0.29698229799942055,0.00019227600023441482,0.29717457399965497
52,semcom,24,0.29168116399978317,0.0002364980000493233,0.2919176619998325
53,semcom,31,0.30858265400001983,0.00034801699985109735,0.3089306709998709
54,semcom,33,0.3004413700000441,0.0002008319997912622,0.3006422019998354
55,semcom,39,0.291718681999555,0.0001862580002125469,0.2919049399997675
56,semcom,42,0.2916787560006924,0.0001945550002346863,0.29187331100092706
57,semcom,85,0.26338785299958545,0.00017781400038074935,0.2635656669999662
58,semcom,101,0.2632302049996724,0.000195739999981015,0.26342594499965344
59,semcom,128,0.2634083160000955,0.00019635100034065545,0.26360466700043617
60,semcom,4,0.2636347959996783,0.0001950169998963247,0.26382981299957464
61,semcom,5,0.26171584500025347,0.00019899899962183554,0.2619148439998753
62,semcom,7,0.2622745449998547,0.00019227600023441482,0.2624668210000891
63,semcom,19,0.2634103159998631,0.00020538700027827872,0.26361570300014137
64,semcom,29,0.2625945800000409,0.00019673999941005604,0.26279131999945093
65,semcom,30,0.26359338899965223,0.00022855400038679363,0.263821943000039
66,semcom,41,0.26218478599912487,0.0001899250000860775,0.26237471099921095
67,semcom,43,0.26422334800008684,0.00019716499991773162,0.2644205130000046
68,semcom,49,0.2628155600004902,0.0001944980003827368,0.26301005800087296
69,semcom,59,0.2644896419997167,0.00019479500042507425,0.26468443700014177
70,semcom,13,0.26491726899985224,0.00019729500036191894,0.26511456400021416
71,semcom,17,0.2637661470007515,0.00019840599998133257,0.26396455300073285
72,semcom,20,0.26483262100009597,0.0001981289997274871,0.26503074999982346
73,semcom,48,0.264535567999701,0.00019473999964247923,0.2647303079993435
74,semcom,56,0.2632192599994596,0.00019627599976956844,0.2634155359992292
75,semcom,57,0.2643497910003134,0.00019590600004448788,0.2645456970003579
76,semcom,60,0.2643591429996377,0.00019740599964279681,0.2645565489992805
77,semcom,69,0.26278248600010556,0.00020103599945286987,0.26298352199955843
78,semcom,83,0.2636224059997403,0.00020422099987627007,0.26382662699961656
79,semcom,87,0.26257856100073695,0.0001978880000024219,0.2627764490007394
80,semcom,1,0.26255187500009924,0.0002034620001722942,0.26275533700027154
81,semcom,2,0.264909639000507,0.00019133200021315133,0.26510097100072016
82,semcom,15,0.263939479000328,0.00019464700017124414,0.26413412600049924
83,semcom,18,0.261946397000429,0.0001918499992825673,0.26213824699971155
84,semcom,51,0.2629382059994896,0.00019559200063667959,0.26313379800012626
85,semcom,54,0.26326772299944423,0.0001952580005308846,0.2634629809999751
86,semcom,55,0.26308302100005676,0.00019783200059464434,0.2632808530006514
87,semcom,72,0.2636924240005101,0.00019822099966404494,0.2638906450001741
88,semcom,73,0.26296372399974643,0.0001952759994310327,0.26315899999917747
89,semcom,79,0.2635385359999418,0.00019985000017186394,0.2637383860001137
90,semcom,11,0.26129197500085866,0.00020114699964324245,0.2614931220005019
91,semcom,14,0.26360499800011894,0.00019179499940946698,0.2637967929995284
92,semcom,23,0.2621468039997126,0.0001924069993037847,0.26233921099901636
93,semcom,28,0.26355297999998584,0.0001935540003614733,0.2637465340003473
94,semcom,34,0.26247756100019615,0.0001972029995158664,0.262674763999712
95,semcom,38,0.2629332060005254,0.00020429500000318512,0.2631375010005286
96,semcom,45,0.26362568300010025,0.0001924799998960225,0.2638181629999963
97,semcom,47,0.2631520559998535,0.00019870200048899278,0.26335075800034247
98,semcom,50,0.2615417699998943,0.0001947210002981592,0.2617364910001925
99,semcom,76,0.2638298299998496,0.00019662799968500622,0.2640264579995346
100,baseline,3,0.03252837800027919,0.2653376919997754,0.2978660700000546
101,baseline,10,0.0005695700001524528,0.26427669700024126,0.2648462670003937
102,baseline,21,0.0005204599992794101,0.2647246209999139,0.2652450809991933
103,baseline,27,0.0005522560004465049,0.2642248459997063,0.2647771020001528
104,baseline,44,0.0005588479998550611,0.266368037000575,0.26692688500043005
105,baseline,52,0.0005458670002553845,0.26487063800050237,0.26541650500075775
106,baseline,74,0.0005754779995186254,0.2640483100003621,0.26462378799988073
107,baseline,90,0.0005369410000639618,0.26552128300045297,0.26605822400051693
108,baseline,97,0.0004900149997411063,0.2658611690003454,0.2663511840000865
109,baseline,98,0.0005592919997070567,0.2659921309996207,0.26655142299932777
110,baseline,6,0.0005647560001307284,0.2658535020000272,0.26641825800015795
111,baseline,9,0.0005529780000870232,0.2636314040000798,0.2641843820001668
112,baseline,37,0.0005354229997465154,0.2658036869997886,0.26633910999953514
113,baseline,66,0.0005728480000470881,0.2648101940003471,0.2653830420003942
114,baseline,81,0.0005539409994526068,0.26394332900053996,0.26449726999999257
115,baseline,82,0.0005494409997481853,0.26533781999933126,0.26588726099907944
116,baseline,104,0.0005481079997480265,0.26439567799934593,0.26494378599909396
117,baseline,105,0.0005444600001283106,0.26357981199998903,0.26412427200011734
118,baseline,114,0.0005570710000029067,0.2653091160000258,0.26586618700002873
119,baseline,122,0.0005543669994949596,0.26555448599992815,0.2661088529994231
120,baseline,25,0.0005850150000696885,0.26442973200028064,0.2650147470003503
121,baseline,35,0.0005425899998954264,0.2647829159996036,0.265325505999499
122,baseline,65,0.0005605520000244724,0.26402792099997896,0.26458847300000343
123,baseline,67,0.0005618300001515308,0.2650427660000787,0.26560459600023023
124,baseline,70,0.0005152739995537559,0.2639285139994172,0.26444378799897095
125,baseline,75,0.0005680520007445011,0.26507432100061123,0.26564237300135574
126,baseline,84,0.0005242560000624508,0.26493304499945225,0.2654573009995147
