image,method,idx,t_encode,t_decode,t_total
101,baseline,41,0.0018590809995657764,0.2742473959997369,0.2761064769993027
102,baseline,42,0.000927994999983639,0.27319655000064813,0.27412454500063177
103,baseline,43,0.0009592159995008842,0.2721516679994238,0.2731108839989247
104,baseline,44,0.0009675680003056186,0.27334280899958685,0.27431037699989247
105,baseline,45,0.0014154179998513428,0.2736988249998831,0.2751142429997344
106,baseline,46,0.00094643900047231,0.2746087830000761,0.2755552220005484
107,baseline,47,0.001205065999783983,0.2747220040000684,0.2759270699998524
108,baseline,48,0.0009793090002858662,0.274021877999985,0.2750011870002709
109,baseline,49,0.002629188000355498,0.2749606329998642,0.27758982100021967
110,baseline,50,0.0012388999994072947,0.27521883499957767,0.27645773499898496
111,baseline,51,0.0012553250007840688,0.2749345390002418,0.27618986400102585
112,baseline,52,0.0012459560002753278,0.2737682139995741,0.2750141699998494
113,baseline,53,0.0012475670000640093,0.274427690000266,0.27567525700033
114,baseline,54,0.0008792720000201371,0.2736816770002406,0.27456094900026073
115,baseline,55,0.00229763399966032,0.27389271199990617,0.2761903459995665
116,baseline,56,0.001282511000681552,0.27436250600021594,0.2756450170008975
117,baseline,57,0.0008618840001872741,0.27277708900055586,0.27363897300074314
118,baseline,58,0.0014484540006378666,0.2728414960001828,0.2742899500008207
119,baseline,59,0.0009834390002652071,0.2734732150001946,0.2744566540004598
