image,method,idx,t_encode,t_decode,t_total
79,semcom,87,0.20017507600005047,0.00020951700025761966,0.2003845930003081
80,semcom,1,0.19728803799989691,0.00021198000013100682,0.19750001800002792
81,semcom,2,0.20077829399997427,0.00021049800034234067,0.2009887920003166
82,semcom,15,0.20126988399988477,0.00020762900021509267,0.20147751300009986
83,semcom,18,0.1992190450000635,0.00021275800008879742,0.19943180300015229
84,semcom,51,0.20121166199987783,0.0002108509997924557,0.2014225129996703
85,semcom,54,0.19950785799937876,0.0002117950007232139,0.19971965300010197
86,semcom,55,0.1994219329999396,0.00022705399987899,0.1996489869998186
87,semcom,72,0.19961259800038533,0.00019422100012889132,0.19980681900051422
88,semcom,73,0.1998784480001632,0.00020953500006726244,0.20008798300023045
89,semcom,79,0.1996134119999624,0.00021957199987809872,0.1998329839998405
90,semcom,11,0.19973798600040027,0.00020981400029995712,0.19994780000070023
91,semcom,14,0.20017305700002908,0.0002144800000678515,0.20038753700009693
92,semcom,23,0.20146143900001334,0.00021055399975011824,0.20167199299976346
93,semcom,28,0.2005087409997941,0.00021172100059629884,0.2007204620003904
94,semcom,34,0.19980372700047155,0.00020903599943267182,0.20001276299990423
95,semcom,38,0.2014880679998896,0.0002099980001730728,0.20169806600006268
96,semcom,45,0.20053277799979696,0.0002064989994323696,0.20073927699922933
97,semcom,47,0.2005734439999287,0.00024325799950020155,0.20081670199942891
98,semcom,50,0.3128365370002939,0.00022142400030134013,0.31305796100059524
99,semcom,76,0.37009029900036694,0.0003858860000036657,0.3704761850003706
