method,idx,t_encode,t_decode,t_total
semcom,63,0.013493157999619143,0.00025044300036825007,0.013743600999987393
semcom,68,0.013507657999980438,0.0002550170001995866,0.013762675000180025
semcom,77,0.013384806999965804,0.0002528320001147222,0.013637639000080526
semcom,78,0.013342992000616505,0.0002483689995642635,0.013591361000180768
semcom,91,0.013331973000276776,0.0002703320005821297,0.013602305000858905
semcom,22,0.013350603000617411,0.0002547209996919264,0.013605324000309338
semcom,26,0.013388009999289352,0.00024561000009271083,0.013633619999382063
semcom,32,0.013567915999374236,0.0002497949999451521,0.013817710999319388
semcom,36,0.013649935000103142,0.0002466280002408894,0.013896563000344031
semcom,40,0.01335762100006832,0.0002554239999881247,0.013613045000056445
semcom,58,0.01352761999987706,0.00024992399994516745,0.013777543999822228
semcom,94,0.013490639000337978,0.0002436280001347768,0.013734267000472755
semcom,100,0.013316232999386557,0.0002453869992677937,0.01356161999865435
semcom,110,0.013310899999851245,0.0002326460007679998,0.013543546000619244
semcom,117,0.013451769000312197,0.00024368399954255437,0.013695452999854751
semcom,12,0.013584545999947295,0.0002495360004104441,0.01383408200035774
semcom,16,0.013337714000044798,0.00024646099973324453,0.013584174999778043
semcom,24,0.013454194999212632,0.0002464240005792817,0.013700618999791914
semcom,31,0.013343972999791731,0.000246109999352484,0.013590082999144215
semcom,33,0.013334287999896333,0.000253182999585988,0.01358747099948232
semcom,39,0.013498175999302475,0.00024036900049395626,0.013738544999796432
semcom,42,0.01338260300053662,0.00026123999941773945,0.013643842999954359
semcom,85,0.013349658999686653,0.0002469060000294121,0.013596564999716065
semcom,101,0.01349236199985171,0.0002511290003894828,0.013743491000241193
semcom,128,0.01334534400029952,0.00023151700042944867,0.013576861000728968
semcom,4,0.01345499099988956,0.0002444609999656677,0.013699451999855228
semcom,5,0.013335917999938829,0.00024392400064243702,0.013579842000581266
semcom,7,0.013485082999977749,0.000250961999881838,0.013736044999859587
semcom,19,0.013494250000803731,0.00024622000000817934,0.01374047000081191
semcom,29,0.01345515799948771,0.00025886900039040484,0.013714026999878115
semcom,30,0.01355534300000727,0.0002448880004521925,0.013800231000459462
semcom,41,0.013288547999763978,0.00024414700055785943,0.013532695000321837
semcom,43,0.013549102000069979,0.00025009199998748954,0.013799194000057469
semcom,49,0.013282085000355437,0.00023940599930938333,0.01352149099966482
semcom,59,0.013542656999561586,0.0002397579992248211,0.013782414998786408
semcom,13,0.013289232999341039,0.00024331399981747381,0.013532546999158512
semcom,17,0.013299955000547925,0.00023646099998586578,0.01353641600053379
semcom,20,0.01342513899999176,0.0002404060005574138,0.013665545000549173
semcom,48,0.013289900000017951,0.0002386090000072727,0.013528509000025224
semcom,56,0.013300418000653735,0.00024972099981823703,0.013550139000471972
semcom,57,0.013303955000083079,0.00023657199926674366,0.013540526999349822
semcom,60,0.013568471999860776,0.00024442499943688745,0.013812896999297664
semcom,69,0.01327375100026984,0.0002543130003687111,0.013528064000638551
semcom,83,0.013544454000111728,0.00024401800055784406,0.013788472000669572
semcom,87,0.013279288999910932,0.0002401470001132111,0.013519436000024143
semcom,1,0.013300750999405864,0.0002443310004309751,0.013545081999836839
semcom,2,0.013385842999923625,0.00024192499950004276,0.013627767999423668
semcom,15,0.013373270000556658,0.0002409979997537448,0.013614268000310403
semcom,18,0.013315178000084416,0.00024134999966918258,0.013556527999753598
semcom,51,0.013590953999482736,0.0002368870000282186,0.013827840999510954
semcom,54,0.013393603000622534,0.00024122100057866191,0.013634824001201196
semcom,55,0.01353756499975134,0.00024344299981748918,0.013781007999568828
semcom,72,0.013294898999447469,0.00024670200036780443,0.013541600999815273
semcom,73,0.013335750999431184,0.0002345729999433388,0.013570323999374523
semcom,79,0.013256436999654397,0.0002447760007271427,0.01350121300038154
semcom,11,0.0134896760000629,0.0002614799996081274,0.013751155999671028
semcom,14,0.01340323200020066,0.00025453499983996153,0.013657767000040621
semcom,23,0.013243899999906716,0.0002417030000287923,0.013485602999935509
semcom,28,0.013318510999852151,0.00024551699971198104,0.013564027999564132
semcom,34,0.013382620999436767,0.00024629499966977164,0.013628915999106539
semcom,38,0.013431121000394342,0.00024477599981764797,0.01367589700021199
semcom,45,0.013243010999758553,0.00023924000015540514,0.013482250999913958
semcom,47,0.013267566000649822,0.00024196199956350029,0.013509528000213322
semcom,50,0.013531620000321709,0.0002443880002829246,0.013776008000604634
semcom,76,0.013227604000348947,0.0002530350002416526,0.0134806390005906
